Timestamp,Temp (?øC),Pressure (bar),Coke Flow (kg/min),Iron Ore (kg/min),CO2 (%),Energy (MW)
0:00:00,1504,2.7,495,1229,13,120
0:10:00,1492,2.5,482,1202,12.9,120
0:20:00,1502,2.6,510,1216,12.6,120
0:30:00,1481,2.8,488,1208,12.3,118
0:40:00,1484,2.5,482,1222,12.1,119
0:50:00,1493,2.6,484,1196,12.9,118
1:00:00,1515,2.7,498,1222,12.6,117
1:10:00,1507,2.7,502,1192,12.1,117
1:20:00,1504,2.5,515,1194,12.2,116
1:30:00,1502,2.6,495,1228,13,118
1:40:00,1490,2.8,486,1201,12.6,120
1:50:00,1500,2.7,490,1183,12.6,118
2:00:00,1517,2.6,514,1188,12.1,117
2:10:00,1486,2.8,519,1183,12.6,119
2:20:00,1500,2.7,494,1210,12.7,116
2:30:00,1481,2.6,508,1185,12.6,115
2:40:00,1513,2.6,507,1182,12.7,119
2:50:00,1511,2.7,495,1181,12.8,119
3:00:00,1493,2.6,497,1228,12.6,116
3:10:00,1489,2.7,519,1181,12.4,115
3:20:00,1485,2.5,488,1249,13,116
3:30:00,1500,2.6,497,1244,12.2,117
3:40:00,1501,2.6,512,1204,12.5,119
3:50:00,1501,2.8,510,1208,12.2,119
4:00:00,1516,2.6,480,1183,12.8,119
4:10:00,1493,2.5,504,1188,12.1,115
4:20:00,1512,2.7,488,1191,12.3,119
4:30:00,1509,2.6,513,1190,12.5,119
4:40:00,1501,2.5,512,1202,13,117
4:50:00,1518,2.6,494,1243,12.9,118
5:00:00,1504,2.5,507,1231,12.1,115
5:10:00,1493,2.6,496,1228,12.8,115
5:20:00,1481,2.7,504,1185,12.4,120
5:30:00,1516,2.6,497,1249,12.2,120
5:40:00,1498,2.7,488,1191,12.2,118
5:50:00,1484,2.6,517,1244,12.6,115
6:00:00,1492,2.7,508,1247,12.8,117
6:10:00,1513,2.5,496,1201,12.9,115
6:20:00,1489,2.6,485,1189,12.6,115
6:30:00,1481,2.7,514,1201,12.8,115
6:40:00,1505,2.8,516,1230,12.9,120
6:50:00,1490,2.6,505,1224,12.9,119
7:00:00,1514,2.5,509,1224,12.6,119
7:10:00,1497,2.6,517,1208,12.5,117
7:20:00,1505,2.6,497,1247,12.3,117
7:30:00,1480,2.8,498,1204,12.1,117
7:40:00,1485,2.7,491,1181,12.4,116
7:50:00,1510,2.6,507,1213,12.2,120
8:00:00,1482,2.6,508,1222,12.5,119
8:10:00,1504,2.7,515,1225,12.6,119
8:20:00,1509,2.6,518,1212,12.8,116
8:30:00,1494,2.7,489,1190,13,117
8:40:00,1510,2.7,486,1204,12.8,115
8:50:00,1514,2.7,517,1195,12.2,119
9:00:00,1481,2.7,512,1192,12.6,116
9:10:00,1518,2.8,481,1214,12.7,115
9:20:00,1509,2.6,491,1181,12.5,120
9:30:00,1499,2.6,519,1196,12.2,115
9:40:00,1496,2.7,506,1225,12.6,117
9:50:00,1487,2.5,497,1193,12.6,118
10:00:00,1490,2.5,506,1199,12.8,118
10:10:00,1517,2.7,491,1245,12.5,118
10:20:00,1513,2.6,483,1202,12.6,120
10:30:00,1503,2.7,493,1185,12.5,118
